"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,223,"CHE","Switzerland",1,"Aargau","Canton|Kanton|Chantun","Canton",NA,"Argovia|Arg¢via|Argovie"
2,223,"CHE","Switzerland",2,"Appenzell Ausserrhoden","Canton|Kanton|Chantun","Canton",NA,"Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno"
3,223,"CHE","Switzerland",3,"Appenzell Innerrhoden","Canton|Kanton|Chantun","Canton",NA,"Appenzell Inner-Rhoden|Appenzell Inner Rhodes|Appenzell dador|Appenzell Rhodes Intérieures|Appenzello Interno"
4,223,"CHE","Switzerland",4,"Basel-Landschaft","Canton|Kanton|Chantun","Canton",NA,"Bâle-Campagne|Basel-Country|Baselland|Basel-Land|Basilea campagna|Basilea Campaña|Basilea-Champagna"
5,223,"CHE","Switzerland",5,"Basel-Stadt","Canton|Kanton|Chantun","Canton",NA,"Bâle-Ville|Basel-City|Basel-Town|Basilea-Citad|Basilea Ciudad|Basilea città|Basiléia cidade"
6,223,"CHE","Switzerland",6,"Bern","Canton|Kanton|Chantun","Canton",NA,"Berna|Berne"
7,223,"CHE","Switzerland",7,"Fribourg","Canton|Kanton|Chantun","Canton",NA,"Freiburg|Friburg|Friburgo"
8,223,"CHE","Switzerland",8,"Genève","Canton|Kanton|Chantun","Canton",NA,"Cenevre|Genebra|Geneve|Geneva|Genevra|Genf|Ginebra|Ginevra"
9,223,"CHE","Switzerland",9,"Glarus","Canton|Kanton|Chantun","Canton",NA,"Glaris|Glarona|Glaruna"
10,223,"CHE","Switzerland",10,"Graubünden","Canton|Kanton|Chantun","Canton",NA,"Graubünden|Grigioni|Grischun|Grisons"
11,223,"CHE","Switzerland",11,"Jura","Canton|Kanton|Chantun","Canton",NA,"Giura"
12,223,"CHE","Switzerland",12,"Lucerne","Canton|Kanton|Chantun","Canton",NA,"Lucerna|Luzern"
13,223,"CHE","Switzerland",13,"Neuchâtel","Canton|Kanton|Chantun","Canton",NA,"Neuenburg"
14,223,"CHE","Switzerland",14,"Nidwalden","Canton|Kanton|Chantun","Canton",NA,"Nidvaldo|Nidwald|Unterwalden-le-Bas|Nidwaldo"
15,223,"CHE","Switzerland",15,"Obwalden","Canton|Kanton|Chantun","Canton",NA,"Obvaldo|Obwald|Unterwalden-le-Haut|Obwaldo|Sursilvania"
16,223,"CHE","Switzerland",16,"Sankt Gallen","Canton|Kanton|Chantun","Canton",NA,"Saint-Gall|San Gallo|Son Gagl"
17,223,"CHE","Switzerland",17,"Schaffhausen","Canton|Kanton|Chantun","Canton",NA,"Schaffhouse|Schaffusa|Sciaffusa"
18,223,"CHE","Switzerland",18,"Schwyz","Canton|Kanton|Chantun","Canton",NA,NA
19,223,"CHE","Switzerland",19,"Solothurn","Canton|Kanton|Chantun","Canton",NA,"Soletta|Soleure|Soleuro|Soloturn"
20,223,"CHE","Switzerland",20,"Thurgau","Canton|Kanton|Chantun","Canton",NA,"Thurgovie|Turgovia|Turg¢via"
21,223,"CHE","Switzerland",21,"Ticino","Canton|Kanton|Chantun","Canton",NA,"Tesino|Tessin"
22,223,"CHE","Switzerland",22,"Uri","Canton|Kanton|Chantun","Canton",NA,NA
23,223,"CHE","Switzerland",23,"Valais","Canton|Kanton|Chantun","Canton",NA,"Vallais|Vallese|Wallis"
24,223,"CHE","Switzerland",24,"Vaud","Canton|Kanton|Chantun","Canton",NA,"Vad|Waadt|Waadtland"
25,223,"CHE","Switzerland",25,"Zürich","Canton|Kanton|Chantun","Canton",NA,"Turitg|Zurigo|Zürih|Zurique"
26,223,"CHE","Switzerland",26,"Zug","Canton|Kanton|Chantun","Canton",NA,"Zoug|Zugo"
