osm_id,name,type,x,y
26660119,,post_office,8.6172887000,47.3961929000
26678397,,parking,8.5942602000,47.4164304000
27035955,Tiefgarage,parking,8.6194839000,47.3971734000
28935141,Rheinfall Touristen Parkplatz,parking,8.6097833000,47.6766547000
28935142,Rheinfall Reisecar Parkplatz,parking,8.6101215000,47.6775001000
28935244,Rheinfall Touristen Parkplatz,parking,8.6094857000,47.6756905000
29015916,Parkhaus Herrenacker,parking,8.6335286000,47.6952024000
29043980,Rheinfallparkplatz Laufen,parking,8.6152151000,47.6750577000
29456433,Kantonsspital Winterthur,hospital,8.7287895000,47.5068410000
29527457,Teuchelweiher,parking,8.7330496000,47.4960216000
29531593,Post 8400 Winterthur,post_office,8.7245900000,47.5001198000
29531594,Post 8402 Obertor,post_office,8.7319194000,47.5002071000
29531596,Post Geiselweid,post_office,8.7405223000,47.4950041000
29532372,,parking,8.7280580000,47.5016037000
29532376,,parking,8.7264513000,47.5012008000
29532393,Bahnhof Winterthur,parking,8.7232649000,47.5002141000
29542482,Arch-Parkhaus,parking,8.7241288000,47.4980452000
29542485,,parking,8.7303351000,47.5023050000
29542541,,parking,8.7203553000,47.4992921000
29542818,Winterthur WÃ¼lflingen,post_office,8.6968772000,47.5110675000
29542819,Post TÃ¶ss,post_office,8.7057637000,47.4916121000
29542820,,post_office,8.7589962000,47.5099293000
29542821,Post Winterthur-Seen,post_office,8.7650711000,47.4855736000
29881480,Industrieplatz,parking,8.6183453000,47.6795613000
30757261,,parking,8.5356189000,47.3563059000
30883051,Parkhaus Gessnerallee,parking,8.5349754000,47.3754376000
32734050,X-UFO Parkplatz Fa. Distrelec,parking,8.6838266000,47.3723310000
32734051,Bahnhofsparkplatz,parking,8.6853838000,47.3699420000
33976386,,parking,8.5889959000,47.3817948000
33980199,,parking,8.5502292000,47.2999718000
34040795,,parking,8.7053248000,47.4825419000
50036485,,parking,8.5190586000,47.5748926000
52737457,,parking,8.6202875000,47.6731076000
60034691,KlÃ¤aranlage,parking,8.7232209000,47.2392388000
60134152,BahnhÃ¶fliplatz,parking,8.7718106000,47.2527221000
60231942,,parking,8.7230738000,47.2616825000
63004115,,hotel,8.4853345000,47.3876356000
63023258,Parkhaus Letzipark,parking,8.4976823000,47.3868022000
73649937,,post_office,8.5330169000,47.3448474000
75739689,,parking,8.5340827000,47.3497930000
83367257,Sanitas,hospital,8.5357080000,47.3215048000
84448605,,car_sharing,8.5307509000,47.3380778000
88917912,,parking,8.4362198000,47.4830904000
89238986,,parking,8.4275657000,47.4741666000
92297950,,parking,8.5687384000,47.4407339000
92544296,,post_office,8.5957718000,47.4087952000
92553668,,parking,8.5530974000,47.4095785000
92555130,,parking,8.5438586000,47.4105490000
93549263,,parking,8.6209041000,47.4221130000
94580314,,post_office,8.5461763000,47.3684216000
94847732,,post_office,8.5326663000,47.3842299000
96049402,Parkhaus Bach,parking,8.6383326000,47.6950937000
96049407,,parking,8.6337419000,47.6942050000
97842748,,parking,8.7080514000,47.4689285000
100031848,,parking,8.5106008000,47.4293935000
100031850,,parking,8.5115621000,47.4303980000
100871405,,parking,8.5156560000,47.5730081000
100963824,Sonne DÃ¼rnten,hotel,8.8431298000,47.2785940000
100963825,,post_office,8.8437066000,47.2785983000
104353615,Abart,nightclub,8.5223905000,47.3618168000
105307133,,parking,8.8128860000,47.3322373000
111247690,,post_office,8.5487107000,47.5028046000
119225396,Kinderspital ZÃ¼rich,hospital,8.5573127000,47.3720481000
119800303,ZÃ¼rich 33 Oberstrass,post_office,8.5480816000,47.3838969000
119800304,Bauhaus,hotel,8.5481255000,47.3841284000
